
2024/11/06 (23:28:37) | ===> btop++ v.1.3.0
2024/11/06 (23:28:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/06 (23:28:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/06 (23:28:58) | ===> btop++ v.1.3.0
2024/11/06 (23:28:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/06 (23:28:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/06 (23:30:45) | ===> btop++ v.1.3.0
2024/11/06 (23:30:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/06 (23:30:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/08 (09:28:25) | ===> btop++ v.1.3.0
2024/11/08 (09:28:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/08 (09:28:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/12 (00:01:16) | ===> btop++ v.1.3.0
2024/11/12 (00:01:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/12 (00:01:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/16 (17:34:59) | ===> btop++ v.1.3.0
2024/11/16 (17:34:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (17:34:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/16 (23:55:21) | ===> btop++ v.1.3.0
2024/11/16 (23:55:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/16 (23:55:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/18 (22:16:37) | ===> btop++ v.1.3.0
2024/11/18 (22:16:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (22:16:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/18 (22:34:17) | ===> btop++ v.1.3.0
2024/11/18 (22:34:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (22:34:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/18 (22:34:29) | ===> btop++ v.1.3.0
2024/11/18 (22:34:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (22:34:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/18 (22:35:16) | INFO: Logger set to DEBUG

2024/11/18 (22:35:34) | ===> btop++ v.1.3.0
2024/11/18 (22:35:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (22:35:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/18 (22:35:37) | ===> btop++ v.1.3.0
2024/11/18 (22:35:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (22:35:37) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/18 (22:35:52) | ===> btop++ v.1.3.0
2024/11/18 (22:35:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (22:35:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/18 (22:35:55) | ===> btop++ v.1.3.0
2024/11/18 (22:35:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (22:35:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/18 (22:50:09) | ===> btop++ v.1.3.0
2024/11/18 (22:50:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (22:50:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/18 (23:09:17) | ===> btop++ v.1.3.0
2024/11/18 (23:09:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (23:09:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/18 (23:11:21) | ===> btop++ v.1.3.0
2024/11/18 (23:11:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/18 (23:11:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (12:16:09) | ===> btop++ v.1.3.0
2024/11/19 (12:16:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (12:16:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (12:32:44) | ===> btop++ v.1.3.0
2024/11/19 (12:32:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (12:32:44) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (12:52:46) | ===> btop++ v.1.3.0
2024/11/19 (12:52:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (12:52:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (12:58:18) | ===> btop++ v.1.3.0
2024/11/19 (12:58:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (12:58:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (12:58:34) | ===> btop++ v.1.3.0
2024/11/19 (12:58:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (12:58:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (15:03:14) | ===> btop++ v.1.3.0
2024/11/19 (15:03:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (15:03:14) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (16:09:46) | ===> btop++ v.1.3.0
2024/11/19 (16:09:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (16:09:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (17:44:43) | ===> btop++ v.1.3.0
2024/11/19 (17:44:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (17:44:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/11/19 (20:41:20) | ===> btop++ v.1.3.0
2024/11/19 (20:41:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/19 (20:41:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported
